compliance,acceleration,deceleration,result,cluster_cd,cluster_ca
4,1,1,27,1,4
4,1,2,36,1,4
4,1,2,37,1,4
4,1,3,53,1,4
4,1,3,54,1,4
4,1,4,70,4,4
4,1,4,71,4,4
4,1,5,85,4,4
4,1,5,86,4,4
4,2,1,41,1,4
4,2,1,42,1,4
4,2,2,60,1,4
4,2,2,61,1,4
4,2,3,73,1,2
4,2,3,74,1,2
4,2,4,75,4,4
4,2,4,76,4,4
4,2,5,85,4,4
4,2,5,86,4,2
4,3,1,65,5,4
4,3,1,66,5,4
4,3,2,52,1,2
4,3,2,53,1,2
4,3,3,69,1,2
4,3,3,70,1,2
4,3,4,76,4,4
4,3,4,77,4,4
4,3,5,74,4,2
4,3,5,75,4,2
4,4,1,26,1,2
4,4,1,27,5,2
4,4,2,65,1,2
4,4,2,66,1,2
4,4,3,76,1,2
4,4,3,77,1,2
4,4,4,78,3,2
4,4,4,79,3,2
4,4,5,76,3,2
4,4,5,77,3,2
4,5,1,28,1,2
4,5,1,29,5,2
4,5,2,73,5,2
4,5,2,74,5,2
4,5,3,77,3,2
4,5,3,78,5,2
4,5,4,76,3,2
4,5,4,77,3,2
4,5,5,80,3,2
4,5,5,81,3,2
5,1,1,29,1,4
5,1,1,30,1,4
5,1,2,37,1,4
5,1,2,38,1,4
5,1,3,53,5,4
5,1,3,54,5,4
5,1,4,70,4,4
5,1,4,71,4,4
5,1,5,86,4,4
5,1,5,87,4,4
5,2,1,33,5,4
5,2,1,34,5,4
5,2,2,40,5,4
5,2,2,41,5,4
5,2,3,63,5,4
5,2,3,64,5,4
5,2,4,87,5,4
5,2,4,88,5,4
5,2,5,97,4,2
5,2,5,98,4,2
5,3,1,85,5,2
5,3,1,86,5,2
5,3,2,60,5,4
5,3,2,61,5,2
5,3,3,78,5,2
5,3,3,79,5,2
5,3,4,83,2,2
5,3,4,84,2,2
5,3,5,88,2,2
5,3,5,89,2,2
5,4,1,40,5,2
5,4,1,41,5,2
5,4,2,50,5,2
5,4,2,51,5,2
5,4,3,59,5,2
5,4,3,60,5,2
5,4,4,80,2,2
5,4,4,81,2,2
5,4,5,88,2,2
5,4,5,89,2,2
5,5,1,28,5,2
5,5,1,29,5,2
5,5,2,60,5,2
5,5,2,61,5,2
5,5,3,75,5,2
5,5,3,76,5,2
5,5,4,79,2,2
5,5,4,80,2,2
5,5,5,84,2,2
5,5,5,85,2,2
