compl,accel,decel,result,cluster_cr,cluster_ad,cluster_dr,cluster_car,cluster_cdr,cluster_adr
1,3,3,34,1,4,6,1,14,2
1,3,4,37,1,4,2,1,16,1
1,3,4,38,1,4,2,1,16,1
1,3,4,39,1,4,2,1,16,1
1,3,4,40,1,4,2,1,16,1
1,3,5,42,1,4,16,1,10,1
1,3,5,43,1,4,16,1,10,1
1,3,5,44,1,4,16,1,10,1
1,3,5,45,1,4,16,1,10,1
1,4,1,22,1,4,15,1,12,2
1,4,1,23,1,4,15,1,12,2
1,4,1,24,1,4,15,1,12,2
1,4,1,25,1,4,15,1,12,2
1,4,2,24,1,4,15,1,12,2
1,4,2,25,1,4,15,1,12,2
1,4,2,26,1,4,15,1,12,2
1,4,2,27,1,4,15,1,12,2
1,4,3,30,1,4,6,1,14,2
1,4,3,31,1,4,6,1,14,2
1,4,3,32,1,4,6,1,14,2
1,4,3,33,1,4,6,1,14,2
1,4,4,40,1,4,2,1,16,1
1,4,4,41,1,4,2,1,16,1
1,4,4,42,1,4,2,1,16,1
1,4,4,43,1,4,2,1,16,1
1,4,5,48,1,4,16,1,10,1
1,4,5,49,1,4,16,1,10,1
1,4,5,50,1,4,16,1,10,1
1,4,5,51,1,4,16,1,10,1
1,5,1,20,1,4,15,1,12,2
1,5,1,21,1,4,15,1,12,2
1,5,1,22,1,4,15,1,12,2
1,5,1,23,1,4,15,1,12,2
1,5,2,25,1,4,15,1,12,2
1,5,2,26,1,4,15,1,12,2
1,5,2,27,1,4,15,1,12,2
1,5,2,28,1,4,15,1,12,2
1,5,3,30,1,4,6,1,14,2
1,5,3,31,1,4,6,1,14,2
1,5,3,32,1,4,6,1,14,2
1,5,3,33,1,4,6,1,14,2
1,5,4,38,1,4,2,1,16,1
1,5,4,39,1,4,2,1,16,1
1,5,4,40,1,4,2,1,16,1
1,5,4,41,1,4,2,1,16,1
1,5,5,47,1,4,16,1,10,1
1,5,5,48,1,4,16,1,10,1
1,5,5,49,1,4,16,1,10,1
1,5,5,50,1,4,16,1,10,1
2,1,1,23,1,3,15,1,15,2
2,1,1,24,1,3,15,1,15,2
2,1,1,25,1,3,15,1,15,2
2,1,1,26,1,3,15,1,15,2
2,1,2,35,1,3,8,1,15,2
2,1,2,36,1,3,8,1,15,2
2,1,2,37,1,3,8,1,15,2
2,1,2,38,1,3,8,1,15,2
2,1,3,43,1,3,1,1,2,2
2,1,3,44,1,3,1,1,2,2
2,1,3,45,1,3,1,1,2,2
2,1,3,46,1,3,1,1,2,2
2,1,4,44,1,3,2,1,13,1
2,1,4,45,1,3,2,1,13,1
2,1,4,46,1,3,2,1,13,1
2,1,4,47,1,3,2,1,13,1
2,1,5,46,1,3,16,1,8,1
2,1,5,47,1,3,16,1,8,1
2,1,5,48,1,3,16,1,8,1
2,1,5,49,1,3,16,1,8,1
2,2,1,32,1,3,15,1,15,2
2,2,1,33,1,3,15,1,15,2
2,2,1,34,1,3,12,1,15,2
2,2,1,35,1,3,12,1,15,2
2,2,2,40,1,3,8,1,15,2
2,2,2,41,1,3,8,1,15,2
2,2,2,42,1,3,8,1,15,2
2,2,2,43,1,3,8,1,15,2
2,2,3,44,1,3,1,1,2,2
2,2,3,45,1,3,1,1,2,2
2,2,3,46,1,3,1,1,2,2
2,2,3,47,1,3,1,1,2,2
2,2,4,42,1,3,2,1,13,1
2,2,4,43,1,3,2,1,13,1
2,2,4,44,1,3,2,1,13,1
2,2,4,45,1,3,2,1,13,1
2,2,5,41,1,3,16,1,8,1
2,2,5,42,1,3,16,1,8,1
2,2,5,43,1,3,16,1,8,1
2,2,5,44,1,3,16,1,8,1
2,3,1,29,1,4,15,1,15,2
2,3,1,30,1,4,15,1,15,2
2,3,1,31,1,4,15,1,15,2
2,3,1,32,1,4,15,1,15,2
2,3,2,41,1,4,8,1,15,2
2,3,2,42,1,4,8,1,15,2
2,3,2,43,1,4,8,1,15,2
2,3,2,44,1,4,8,1,15,2
2,3,3,47,1,4,1,1,2,2
2,3,3,48,1,4,1,1,2,2
2,3,3,49,1,4,1,1,2,2
2,3,3,50,1,4,1,1,2,2
2,3,4,45,1,4,2,1,13,1
2,3,4,46,1,4,2,1,13,1
2,3,4,47,1,4,2,1,13,1
2,3,4,48,1,4,2,1,13,1
2,3,5,45,1,4,16,1,8,1
2,3,5,46,1,4,16,1,8,1
2,3,5,47,1,4,16,1,8,1
2,3,5,48,1,4,16,1,8,1
2,4,1,32,1,4,15,1,15,2
2,4,1,33,1,4,15,1,15,2
2,4,1,34,1,4,12,1,15,2
2,4,1,35,1,4,12,1,15,2
2,4,2,37,1,4,8,1,15,2
2,4,2,38,1,4,8,1,15,2
2,4,2,39,1,4,8,1,15,2
2,4,2,40,1,4,8,1,15,2
2,4,3,43,1,4,1,1,2,2
2,4,3,44,1,4,1,1,2,2
2,4,3,45,1,4,1,1,2,2
2,4,3,46,1,4,1,1,2,2
2,4,4,45,1,4,2,1,13,1
2,4,4,46,1,4,2,1,13,1
2,4,4,47,1,4,2,1,13,1
2,4,4,48,1,4,2,1,13,1
2,4,5,50,1,4,16,1,8,1
2,4,5,51,1,4,16,1,8,1
2,4,5,52,1,4,16,1,8,1
2,4,5,53,1,4,16,1,8,1
2,5,1,31,1,4,15,1,15,2
2,5,1,32,1,4,15,1,15,2
2,5,1,33,1,4,15,1,15,2
2,5,1,34,1,4,12,1,15,2
2,5,2,34,1,4,8,1,15,2
2,5,2,35,1,4,8,1,15,2
2,5,2,36,1,4,8,1,15,2
2,5,2,37,1,4,8,1,15,2
2,5,3,36,1,4,6,1,2,2
2,5,3,37,1,4,6,1,2,2
2,5,3,38,1,4,1,1,2,2
2,5,3,39,1,4,1,1,2,2
2,5,4,41,1,4,2,1,13,1
2,5,4,42,1,4,2,1,13,1
2,5,4,43,1,4,2,1,13,1
2,5,4,44,1,4,2,1,13,1
2,5,5,51,1,4,16,1,8,1
2,5,5,52,1,4,16,1,8,1
2,5,5,53,1,4,16,1,8,1
2,5,5,54,1,2,16,1,8,1
3,1,1,40,1,3,12,3,5,2
3,1,1,41,1,3,12,3,5,2
3,1,1,42,1,3,12,3,5,2
3,1,1,43,1,3,12,3,5,2
3,1,2,41,1,3,8,3,5,2
3,1,2,42,1,3,8,3,5,2
3,1,2,43,1,3,8,3,5,2
3,1,2,44,1,3,8,3,5,2
3,1,3,50,1,3,1,3,19,2
3,1,3,51,1,3,13,3,19,2
3,1,3,52,1,3,13,3,19,2
3,1,3,53,1,3,13,3,19,2
3,1,4,58,2,1,10,3,17,1
3,1,4,59,2,1,10,3,17,1
3,1,4,60,2,1,10,3,17,1
3,1,4,61,2,1,10,3,17,1
3,1,5,65,2,1,18,3,17,1
3,1,5,66,2,1,18,3,17,1
3,1,5,67,2,1,18,3,17,1
3,1,5,68,2,1,18,3,17,1
3,2,1,40,1,3,12,1,5,2
3,2,1,41,1,3,12,1,5,2
3,2,1,42,1,3,12,1,5,2
3,2,1,43,1,3,12,1,5,2
3,2,2,44,1,3,8,1,5,2
3,2,2,45,1,3,8,1,5,2
3,2,2,46,1,3,8,1,5,2
3,2,2,47,1,3,8,1,5,2
3,2,3,54,1,1,13,3,19,2
3,2,3,55,2,1,13,3,19,1
3,2,3,56,2,1,13,3,19,1
3,2,3,57,2,1,13,3,19,1
3,2,4,59,2,1,10,3,17,1
3,2,4,60,2,1,10,3,17,1
3,2,4,61,2,1,10,3,17,1
3,2,4,62,2,1,10,3,17,1
3,2,5,64,2,1,18,3,17,1
3,2,5,65,2,1,18,3,17,1
3,2,5,66,2,1,18,3,17,1
3,2,5,67,2,1,18,3,17,1
3,3,1,47,1,4,12,1,5,2
3,3,1,48,1,4,12,1,5,2
3,3,1,49,1,4,12,1,5,2
3,3,1,50,1,4,12,1,5,2
3,3,2,49,1,4,8,1,5,2
3,3,2,50,1,4,17,1,5,2
3,3,2,51,1,4,17,1,5,2
3,3,2,52,1,4,17,1,5,2
3,3,3,56,2,1,13,2,19,1
3,3,3,57,2,1,13,2,19,1
3,3,3,58,2,1,13,2,19,1
3,3,3,59,2,1,13,2,19,1
3,3,4,61,2,1,10,2,17,1
3,3,4,62,2,1,10,2,17,1
3,3,4,63,2,1,10,2,17,1
3,3,4,64,2,1,10,2,17,1
3,3,5,63,2,1,18,2,17,1
3,3,5,64,2,1,18,2,17,1
3,3,5,65,2,1,18,2,17,1
3,3,5,66,2,1,18,2,17,1
3,4,1,44,1,4,12,1,5,2
3,4,1,45,1,4,12,1,5,2
3,4,1,46,1,4,12,1,5,2
3,4,1,47,1,4,12,1,5,2
3,4,2,52,1,4,17,2,5,2
3,4,2,53,1,4,17,2,5,2
3,4,2,54,1,4,17,2,5,2
3,4,2,55,2,4,17,2,5,2
3,4,3,61,2,2,11,2,19,1
3,4,3,62,2,2,11,2,19,1
3,4,3,63,2,2,11,2,19,1
3,4,3,64,2,2,11,2,19,1
3,4,4,66,2,2,10,2,17,1
3,4,4,67,2,2,10,2,17,1
3,4,4,68,2,2,10,2,17,1
3,4,4,69,2,2,10,2,17,1
3,4,5,68,2,2,18,2,17,1
3,4,5,69,2,2,18,2,17,1
3,4,5,70,2,2,18,2,17,1
3,4,5,71,2,2,18,2,17,1
3,5,1,42,1,4,12,1,5,2
3,5,1,43,1,4,12,1,5,2
3,5,1,44,1,4,12,1,5,2
3,5,1,45,1,4,12,2,5,2
3,5,2,49,1,4,8,2,5,2
3,5,2,50,1,4,17,2,5,2
3,5,2,51,1,4,17,2,5,2
3,5,2,52,1,4,17,2,5,2
3,5,3,61,2,2,11,2,19,1
3,5,3,62,2,2,11,2,19,1
3,5,3,63,2,2,11,2,19,1
3,5,3,64,2,2,11,2,19,1
3,5,4,65,2,2,10,2,17,1
3,5,4,66,2,2,10,2,17,1
3,5,4,67,2,2,10,2,17,1
3,5,4,68,2,2,10,2,17,1
3,5,5,67,2,2,18,2,17,1
3,5,5,68,2,2,18,2,17,1
3,5,5,69,2,2,18,2,17,1
3,5,5,70,2,2,18,2,17,1
4,1,1,59,2,1,7,3,6,2
4,1,1,60,2,1,7,3,6,2
4,1,1,61,2,1,7,3,6,2
4,1,1,62,2,1,7,3,6,2
4,1,2,59,2,1,17,3,3,2
4,1,2,60,2,1,17,3,3,2
4,1,2,61,2,1,17,3,3,2
4,1,2,62,2,1,17,3,3,2
4,1,3,57,2,1,13,3,19,1
4,1,3,58,2,1,13,3,19,1
4,1,3,59,2,1,13,3,19,1
4,1,3,60,2,1,11,3,19,1
4,1,4,63,2,1,10,3,9,1
4,1,4,64,2,1,10,3,9,1
4,1,4,65,2,1,10,3,9,1
4,1,4,66,2,1,10,3,9,1
4,1,5,71,2,1,18,3,11,1
4,1,5,72,2,1,18,3,11,1
4,1,5,73,2,1,18,3,11,1
4,1,5,74,2,1,18,3,11,1
4,2,1,56,2,1,7,3,6,2
4,2,1,57,2,1,7,3,6,2
4,2,1,58,2,1,7,3,6,2
4,2,1,59,2,1,7,3,6,2
4,2,2,57,2,1,17,3,3,2
4,2,2,58,2,1,17,3,3,2
4,2,2,59,2,1,17,3,3,2
4,2,2,60,2,1,17,3,3,2
4,2,3,61,2,1,11,3,19,1
4,2,3,62,2,1,11,3,19,1
4,2,3,63,2,1,11,3,19,1
4,2,3,64,2,1,11,3,19,1
4,2,4,69,2,1,10,3,20,1
4,2,4,70,2,1,10,3,20,1
4,2,4,71,2,1,3,3,20,1
4,2,4,72,2,1,3,3,20,1
4,2,5,74,2,1,18,3,11,1
4,2,5,75,2,1,14,3,11,1
4,2,5,76,2,1,14,3,11,1
4,2,5,77,2,1,14,3,11,1
4,3,1,58,2,1,7,2,6,2
4,3,1,59,2,1,7,2,6,2
4,3,1,60,2,1,7,2,6,2
4,3,1,61,2,1,7,2,6,2
4,3,2,59,2,1,17,2,3,2
4,3,2,60,2,1,17,2,3,2
4,3,2,61,2,1,17,2,3,2
4,3,2,62,2,1,17,2,3,2
4,3,3,62,2,1,11,2,19,1
4,3,3,63,2,1,11,2,19,1
4,3,3,64,2,1,11,2,19,1
4,3,3,65,2,1,11,2,19,1
4,3,4,69,2,1,10,2,20,1
4,3,4,70,2,1,10,2,20,1
4,3,4,71,2,1,3,2,20,1
4,3,4,72,2,1,3,2,20,1
4,3,5,74,2,1,18,2,11,1
4,3,5,75,2,1,14,2,11,1
4,3,5,76,2,1,14,2,11,1
4,3,5,77,2,1,14,2,11,1
4,4,1,62,2,2,7,2,6,2
4,4,1,63,2,2,7,2,6,2
4,4,1,64,2,2,7,2,6,2
4,4,1,65,2,2,7,2,6,2
4,4,2,62,2,2,17,2,3,2
4,4,2,63,2,2,17,2,3,2
4,4,2,64,2,2,17,2,3,2
4,4,2,65,2,2,17,2,3,2
4,4,3,64,2,2,11,2,19,1
4,4,3,65,2,2,11,2,19,1
4,4,3,66,2,2,11,2,19,1
4,4,3,67,2,2,11,2,19,1
4,4,4,70,2,2,10,2,20,1
4,4,4,71,2,2,3,2,20,1
4,4,4,72,2,2,3,2,20,1
4,4,4,73,2,2,3,2,20,1
4,4,5,74,2,2,18,2,11,1
4,4,5,75,2,2,14,2,11,1
4,4,5,76,2,2,14,2,11,1
4,4,5,77,2,2,14,2,11,1
4,5,1,60,2,2,7,2,6,2
4,5,1,61,2,2,7,2,6,2
4,5,1,62,2,2,7,2,6,2
4,5,1,63,2,2,7,2,6,2
4,5,2,64,2,2,17,2,3,2
4,5,2,65,2,2,17,2,3,2
4,5,2,66,2,2,17,2,3,2
4,5,2,67,2,2,17,2,3,2
4,5,3,68,2,2,11,2,19,1
4,5,3,69,2,2,11,2,19,1
4,5,3,70,2,2,11,2,19,1
4,5,3,71,2,2,5,2,19,1
4,5,4,75,2,2,3,2,18,1
4,5,4,76,2,2,3,2,18,1
4,5,4,77,2,2,3,2,18,1
4,5,4,78,2,2,3,2,18,1
4,5,5,80,2,2,14,2,11,1
4,5,5,81,2,2,14,2,11,1
4,5,5,82,2,2,14,2,11,1
4,5,5,83,2,2,14,2,11,1
5,1,1,78,2,1,4,3,1,2
5,1,1,79,2,1,4,3,1,2
5,1,1,80,2,1,4,3,1,2
5,1,1,81,2,1,4,3,1,2
5,1,2,77,2,1,9,3,1,1
5,1,2,78,2,1,9,3,1,1
5,1,2,79,2,1,9,3,1,1
5,1,2,80,2,1,9,3,1,1
5,1,3,77,2,1,5,3,4,1
5,1,3,78,2,1,5,3,4,1
5,1,3,79,2,1,5,3,4,1
5,1,3,80,2,1,5,3,4,1
5,1,4,72,2,1,3,3,4,1
5,1,4,73,2,1,3,3,4,1
5,1,4,74,2,1,3,3,4,1
5,1,4,75,2,1,3,3,4,1
5,1,5,77,2,1,14,3,7,1
5,1,5,78,2,1,14,3,7,1
5,1,5,79,2,1,14,3,7,1
5,1,5,80,2,1,14,3,7,1
5,2,1,74,2,1,4,3,1,2
5,2,1,75,2,1,4,3,1,2
5,2,1,76,2,1,4,3,1,2
5,2,1,77,2,1,4,3,1,2
5,2,2,74,2,1,9,3,1,1
5,2,2,75,2,1,9,3,1,1
5,2,2,76,2,1,9,3,1,1
5,2,2,77,2,1,9,3,1,1
5,2,3,76,2,1,5,3,4,1
5,2,3,77,2,1,5,3,4,1
5,2,3,78,2,1,5,3,4,1
5,2,3,79,2,1,5,3,4,1
5,2,4,75,2,1,3,3,4,1
5,2,4,76,2,1,3,3,4,1
5,2,4,77,2,1,3,3,4,1
5,2,4,78,2,1,3,3,4,1
5,2,5,82,2,1,14,3,7,1
5,2,5,83,2,1,14,3,7,1
5,2,5,84,2,1,14,3,7,1
5,2,5,85,2,1,14,3,7,1
5,3,1,72,2,1,4,2,1,2
5,3,1,73,2,1,4,2,1,2
5,3,1,74,2,1,4,2,1,2
5,3,1,75,2,1,4,2,1,2
5,3,2,74,2,1,9,2,1,1
5,3,2,75,2,1,9,2,1,1
5,3,2,76,2,1,9,2,1,1
5,3,2,77,2,1,9,2,1,1
5,3,3,78,2,1,5,2,4,1
5,3,3,79,2,1,5,2,4,1
5,3,3,80,2,1,5,2,4,1
5,3,3,81,2,1,5,2,4,1
5,3,4,78,2,1,3,2,4,1
5,3,4,79,2,1,3,2,4,1
5,3,4,80,2,1,3,2,4,1
5,3,4,81,2,1,3,2,4,1
5,3,5,84,2,1,14,2,7,1
5,3,5,85,2,1,14,2,7,1
5,3,5,86,2,1,14,2,7,1
5,3,5,87,2,1,14,2,7,1
5,4,1,75,2,2,4,2,1,2
5,4,1,76,2,2,4,2,1,2
5,4,1,77,2,2,4,2,1,2
5,4,1,78,2,2,4,2,1,2
5,4,2,74,2,2,9,2,1,1
5,4,2,75,2,2,9,2,1,1
5,4,2,76,2,2,9,2,1,1
5,4,2,77,2,2,9,2,1,1
5,4,3,75,2,2,5,2,4,1
5,4,3,76,2,2,5,2,4,1
5,4,3,77,2,2,5,2,4,1
5,4,3,78,2,2,5,2,4,1
5,4,4,76,2,2,3,2,4,1
5,4,4,77,2,2,3,2,4,1
5,4,4,78,2,2,3,2,4,1
5,4,4,79,2,2,3,2,4,1
5,4,5,83,2,2,14,2,7,1
5,4,5,84,2,2,14,2,7,1
5,4,5,85,2,2,14,2,7,1
5,4,5,86,2,2,14,2,7,1
5,5,1,78,2,2,4,2,1,2
5,5,1,79,2,2,4,2,1,2
5,5,1,80,2,2,4,2,1,2
5,5,1,81,2,2,4,2,1,2
5,5,2,77,2,2,9,2,1,1
5,5,2,78,2,2,9,2,1,1
5,5,2,79,2,2,9,2,1,1
5,5,2,80,2,2,9,2,1,1
5,5,3,76,2,2,5,2,4,1
5,5,3,77,2,2,5,2,4,1
5,5,3,78,2,2,5,2,4,1
5,5,3,79,2,2,5,2,4,1
5,5,4,78,2,2,3,2,4,1
5,5,4,79,2,2,3,2,4,1
5,5,4,80,2,2,3,2,4,1
5,5,4,81,2,2,3,2,4,1
5,5,5,83,2,2,14,2,7,1
5,5,5,84,2,2,14,2,7,1
5,5,5,85,2,2,14,2,7,1
