compliance,acceleration,deceleration,result,cluster3,cluster_cd,cluster_ca,cluster_ad
2,4,3,41,3,3,2,3
3,4,3,49,3,3,2,3
3,5,5,82,4,4,4,1
5,5,5,95,4,1,4,4
5,3,4,92,4,1,4,4
5,1,5,94,4,1,4,4
4,5,5,97,4,1,4,4
1,3,2,33,1,2,3,2
4,5,5,95,4,1,4,4
1,1,1,23,1,2,3,2
3,5,5,93,4,1,4,4
3,5,3,73,2,4,1,1
2,5,5,48,3,3,2,3
5,5,5,94,4,1,4,4
3,5,4,81,2,4,1,1
5,5,5,99,4,1,4,4
3,5,5,97,4,1,4,4
2,4,3,63,2,3,1,3
3,4,3,73,2,4,1,1
5,3,3,95,4,1,4,4
3,5,5,94,4,1,4,4
3,5,5,92,4,1,4,4
2,4,3,53,3,3,2,3
5,5,5,94,4,1,4,4
1,3,1,31,1,2,3,2
1,3,3,25,1,2,3,2
1,5,3,31,1,2,3,2
3,5,3,76,2,4,1,1
4,4,4,91,4,1,4,4
2,3,1,29,1,2,3,2
3,5,5,93,4,1,4,4
1,5,5,28,1,2,3,2
3,5,5,77,2,4,1,1
5,5,3,95,4,1,4,4
1,2,3,25,1,2,3,2
5,5,5,88,4,1,4,4
3,3,5,43,3,3,2,3
5,5,3,85,4,1,4,4
2,5,3,43,3,3,2,3
3,4,3,80,2,4,1,1
3,5,5,89,4,1,4,4
3,3,5,66,2,4,1,1
1,4,3,38,3,2,2,2
1,5,5,45,3,3,2,3
4,5,5,88,4,1,4,4
5,5,5,92,4,1,4,4
