"","compl","accel","decel","clust_ca","clust_cd","clust_ad","clust_cad","pred","answer","loss"
"57",3,4,5,15,5,2,2,76.5,78,1.5
"58",4,5,2,12,15,2,1,74.4,77,2.59999999999999
"59",3,5,5,14,5,2,2,79.4,77,2.40000000000001
"60",3,5,5,14,5,2,2,79.4,76,3.40000000000001
"61",3,2,5,5,5,1,2,78.6,76,2.59999999999999
"62",3,5,3,14,11,2,1,73.4,76,2.59999999999999
"63",3,3,3,13,11,1,1,71.4,75,3.59999999999999
"64",3,5,4,14,10,2,1,78.4,74,4.40000000000001
"65",3,3,3,13,11,1,1,71.4,74,2.59999999999999
"66",3,5,4,14,10,2,1,78.4,74,4.40000000000001
"67",3,4,3,15,11,2,1,70.6,73,2.40000000000001
"68",3,5,3,14,11,2,1,73.4,73,0.400000000000006
"69",3,4,3,15,11,2,1,70.6,73,2.40000000000001
"70",3,4,3,15,11,2,1,70.6,68,2.59999999999999
"71",2,5,5,1,3,2,1,59.7,68,8.3
"72",2,5,5,1,3,2,1,59.7,68,8.3
"73",3,2,4,5,10,1,3,65.4,68,2.59999999999999
"74",3,3,3,13,11,1,1,71.4,65,6.40000000000001
"75",1,5,5,1,3,2,1,55.4,63,7.6
"76",3,5,3,14,11,2,1,73.4,63,10.4
"77",2,5,3,1,12,2,1,45.6,63,17.4
"78",2,4,3,10,12,2,1,57,63,6
"79",3,5,3,14,11,2,1,73.4,62,11.4
"80",2,5,5,1,3,2,1,59.7,60,0.299999999999997
"81",1,5,5,1,3,2,1,55.4,58,2.6
"82",3,3,1,13,4,1,3,53.4,56,2.6
"83",3,3,1,13,4,1,3,53.4,56,2.6
"84",2,5,3,1,12,2,1,45.6,55,9.4
"85",1,1,5,2,3,1,3,52.3,53,0.700000000000003
"86",2,3,4,13,2,1,1,55.6,53,2.6
"87",2,4,3,10,12,2,1,57,53,4
"88",1,4,4,3,1,2,1,47.7,51,3.3
"89",1,3,4,7,1,1,1,50.4,50,0.399999999999999
"90",1,3,4,7,1,1,1,50.4,50,0.399999999999999
"91",1,3,5,7,3,2,1,51.6,49,2.6
"92",3,4,3,15,11,2,1,70.6,49,21.6
"93",2,5,4,1,2,2,1,50.6,48,2.6
"94",2,5,5,1,3,2,1,59.7,48,11.7
"95",1,5,3,1,13,2,1,36.7,46,9.3
"96",1,5,3,1,13,2,1,36.7,46,9.3
"97",2,5,4,1,2,2,1,50.6,46,4.6
"98",2,5,5,1,3,2,1,59.7,45,14.7
"99",1,5,5,1,3,2,1,55.4,45,10.4
"100",1,5,4,1,1,2,1,46.7,43,3.7
"101",2,5,3,1,12,2,1,45.6,43,2.6
"102",2,5,3,1,12,2,1,45.6,43,2.6
"103",1,4,3,3,13,2,1,39.4,42,2.6
"104",1,4,3,3,13,2,1,39.4,42,2.6
"105",2,5,3,1,12,2,1,45.6,41,4.6
"106",2,4,3,10,12,2,1,57,41,16
"107",1,3,1,7,9,1,3,29.5,38,8.5
"108",1,5,3,1,13,2,1,36.7,38,1.3
"109",1,4,3,3,13,2,1,39.4,38,1.4
"110",1,3,2,7,13,1,3,28.6,33,4.4
"111",1,5,3,1,13,2,1,36.7,32,4.7
"112",1,5,3,1,13,2,1,36.7,31,5.7
"113",1,3,1,7,9,1,3,29.5,31,1.5
"114",1,3,1,7,9,1,3,29.5,31,1.5
"115",1,3,1,7,9,1,3,29.5,31,1.5
"116",1,5,3,1,13,2,1,36.7,31,5.7
"117",2,3,2,13,12,1,3,39.7,30,9.7
"118",1,4,3,3,13,2,1,39.4,30,9.4
"119",2,3,1,13,4,1,3,44.4,29,15.4
"120",1,1,1,2,9,1,3,25.6,28,2.4
"121",1,5,1,1,9,2,1,26.6,27,0.399999999999999
"122",1,4,1,3,9,1,3,31.4,27,4.4
"123",1,1,3,2,13,1,3,27.6,25,2.6
"124",1,2,3,2,13,1,3,27.6,25,2.6
"125",1,1,1,2,9,1,3,25.6,25,0.600000000000001
"126",1,3,3,7,13,1,3,31.5,25,6.5
"127",1,2,3,2,13,1,3,27.6,25,2.6
"128",1,5,1,1,9,2,1,26.6,24,2.6
"129",1,2,1,2,9,1,3,25.6,24,1.6
"130",1,1,1,2,9,1,3,25.6,24,1.6
"131",1,2,1,2,9,1,3,25.6,24,1.6
"132",1,1,1,2,9,1,3,25.6,24,1.6
"133",2,1,1,11,4,1,3,33.7,24,9.7
"134",1,5,1,1,9,2,1,26.6,24,2.6
"135",1,1,1,2,9,1,3,25.6,23,2.6
"136",1,2,1,2,9,1,3,25.6,23,2.6
"137",1,1,1,2,9,1,3,25.6,23,2.6
