compl,accel,decel,result,cluster_cr,cluster_ar,cluster_dr
4,4,2,67,15,8,1
4,4,2,68,15,8,1
4,4,3,68,15,8,1
4,4,3,69,15,8,1
4,4,4,76,15,8,1
4,4,4,77,15,8,1
4,4,5,83,3,5,1
4,4,5,84,3,5,1
4,5,1,23,6,16,2
4,5,1,24,6,16,2
4,5,2,75,15,14,1
4,5,2,76,15,14,1
4,5,3,74,15,14,1
4,5,3,75,15,14,1
4,5,4,83,3,15,1
4,5,4,84,3,15,1
4,5,5,88,17,15,1
4,5,5,89,17,15,1
5,1,1,30,6,9,2
5,1,1,31,6,9,2
5,1,2,67,9,10,1
5,1,2,68,9,10,1
5,1,3,78,9,4,1
5,1,3,79,9,4,1
5,1,4,86,1,4,1
5,1,4,87,1,4,1
5,1,5,94,1,4,1
5,1,5,95,1,4,1
5,2,1,28,6,17,2
5,2,1,29,6,17,2
5,2,2,65,9,12,1
5,2,2,66,9,12,1
5,2,3,77,9,11,1
5,2,3,78,9,11,1
5,2,4,86,1,11,1
5,2,4,87,1,11,1
5,2,5,95,1,11,1
5,2,5,96,1,11,1
5,3,1,27,6,17,2
5,3,1,28,6,17,2
5,3,2,65,9,7,1
5,3,2,66,9,7,1
5,3,3,73,9,7,1
5,3,3,74,9,7,1
5,3,4,87,1,1,1
5,3,4,88,1,1,1
5,3,5,97,1,1,1
5,3,5,98,1,1,1
5,4,1,27,6,16,2
5,4,1,28,6,16,2
5,4,2,71,9,8,1
5,4,2,72,9,8,1
5,4,3,68,9,8,1
5,4,3,69,9,8,1
5,4,4,85,1,5,1
5,4,4,86,1,5,1
5,4,5,96,1,5,1
5,4,5,97,1,5,1
5,5,1,28,6,16,2
5,5,1,29,6,16,2
5,5,2,85,1,15,1
5,5,2,86,1,15,1
5,5,3,83,1,15,1
5,5,3,84,1,15,1
5,5,4,86,1,15,1
5,5,4,87,1,15,1
5,5,5,93,1,15,1
5,5,5,94,1,15,1
