compliance,acceleration,deceleration,result,pred,loss
3,5,2,61,60.35206223,-0.647937775
3,5,2,62,60.35206223,-1.647937775
3,5,3,66,67.73225403,1.732254028
3,5,3,67,67.73225403,0.732254028
3,5,3,68,67.73225403,-0.267745972
3,5,3,69,67.73225403,-1.267745972
3,5,4,69,70.45141602,1.451416016
3,5,4,70,70.45141602,0.451416016
3,5,4,71,70.45141602,-0.548583984
3,5,4,72,70.45141602,-1.548583984
3,5,5,75,76.36534882,1.365348816
3,5,5,76,76.36534882,0.365348816
3,5,5,77,76.36534882,-0.634651184
3,5,5,78,76.36534882,-1.634651184
4,1,1,25,26.637146,1.637145996
4,1,1,26,26.637146,0.637145996
4,1,1,27,26.637146,-0.362854004
4,1,1,28,26.637146,-1.362854004
4,1,2,35,36.51585007,1.515850067
4,1,2,36,36.51585007,0.515850067
4,1,2,37,36.51585007,-0.484149933
4,1,2,38,36.51585007,-1.484149933
4,1,3,52,53.50983047,1.509830475
4,1,3,53,53.50983047,0.509830475
4,1,3,54,53.50983047,-0.490169525
4,1,3,55,53.50983047,-1.490169525
4,1,4,69,70.18657684,1.186576843
4,1,4,70,70.18657684,0.186576843
4,1,4,71,70.18657684,-0.813423157
4,1,4,72,70.18657684,-1.813423157
4,1,5,84,85.69031525,1.690315247
4,1,5,85,85.69031525,0.690315247
4,1,5,86,85.69031525,-0.309684753
4,1,5,87,85.69031525,-1.309684753
4,2,1,40,41.16955948,1.169559479
4,2,1,41,41.16955948,0.169559479
4,2,1,42,41.16955948,-0.830440521
4,2,1,43,41.16955948,-1.830440521
4,2,2,59,60.11679077,1.116790771
4,2,2,60,60.11679077,0.116790771
4,2,2,61,60.11679077,-0.883209229
4,2,2,62,60.11679077,-1.883209229
4,2,3,72,73.03938293,1.039382935
4,2,3,73,73.03938293,0.039382935
4,2,3,74,73.03938293,-0.960617065
4,2,3,75,73.03938293,-1.960617065
4,2,4,74,75.86561584,1.865615845
4,2,4,75,75.86561584,0.865615845
4,2,4,76,75.86561584,-0.134384155
4,2,4,77,75.86561584,-1.134384155
4,2,5,84,85.61663055,1.616630554
4,2,5,85,85.61663055,0.616630554
4,2,5,86,85.61663055,-0.383369446
4,2,5,87,85.61663055,-1.383369446
4,3,1,64,65.22515106,1.225151062
4,3,1,65,65.22515106,0.225151062
4,3,1,66,65.22515106,-0.774848938
4,3,1,67,65.22515106,-1.774848938
4,3,2,51,52.02181244,1.021812439
4,3,2,52,52.02181244,0.021812439
4,3,2,53,52.02181244,-0.978187561
4,3,2,54,52.02181244,-1.978187561
4,3,3,68,69.62298584,1.62298584
4,3,3,69,69.62298584,0.62298584
4,3,3,70,69.62298584,-0.37701416
4,3,3,71,69.62298584,-1.37701416
4,3,4,75,76.81555939,1.815559387
4,3,4,76,76.81555939,0.815559387
4,3,4,77,76.81555939,-0.184440613
4,3,4,78,76.81555939,-1.184440613
4,3,5,73,74.01786041,1.017860413
4,3,5,74,74.01786041,0.017860413
4,3,5,75,74.01786041,-0.982139587
4,3,5,76,74.01786041,-1.982139587
4,4,1,25,26.82853317,1.828533173
4,4,1,26,26.82853317,0.828533173
4,4,1,27,26.82853317,-0.171466827
4,4,1,28,26.82853317,-1.171466827
4,4,2,64,65.03403473,1.034034729
4,4,2,65,65.03403473,0.034034729
4,4,2,66,65.03403473,-0.965965271
4,4,2,67,65.03403473,-1.965965271
4,4,3,75,76.10184479,1.101844788
4,4,3,76,76.10184479,0.101844788
4,4,3,77,76.10184479,-0.898155212
4,4,3,78,76.10184479,-1.898155212
4,4,4,77,78.43871307,1.438713074
4,4,4,78,78.43871307,0.438713074
4,4,4,79,78.43871307,-0.561286926
4,4,4,80,78.43871307,-1.561286926
4,4,5,75,76.06800842,1.068008423
4,4,5,76,76.06800842,0.068008423
4,4,5,77,76.06800842,-0.931991577
4,4,5,78,76.06800842,-1.931991577
4,5,1,27,28.71208382,1.712083817
4,5,1,28,28.71208382,0.712083817
4,5,1,29,28.71208382,-0.287916183
4,5,1,30,28.71208382,-1.287916183
4,5,2,72,73.71891022,1.718910217
4,5,2,73,73.71891022,0.718910217
4,5,2,74,73.71891022,-0.281089783
4,5,2,75,73.71891022,-1.281089783
4,5,3,76,77.22905731,1.229057312
4,5,3,77,77.22905731,0.229057312
4,5,3,78,77.22905731,-0.770942688
4,5,3,79,77.22905731,-1.770942688
4,5,4,75,76.32191467,1.321914673
4,5,4,76,76.32191467,0.321914673
4,5,4,77,76.32191467,-0.678085327
4,5,4,78,76.32191467,-1.678085327
4,5,5,79,80.0946579,1.094657898
4,5,5,80,80.0946579,0.094657898
4,5,5,81,80.0946579,-0.905342102
4,5,5,82,80.0946579,-1.905342102
5,1,1,28,29.57553101,1.575531006
5,1,1,29,29.57553101,0.575531006
5,1,1,30,29.57553101,-0.424468994
5,1,1,31,29.57553101,-1.424468994
5,1,2,36,37.52434158,1.524341583
5,1,2,37,37.52434158,0.524341583
5,1,2,38,37.52434158,-0.475658417
5,1,2,39,37.52434158,-1.475658417
5,1,3,52,53.9396286,1.939628601
5,1,3,53,53.9396286,0.939628601
5,1,3,54,53.9396286,-0.060371399
5,1,3,55,53.9396286,-1.060371399
5,1,4,69,70.63687897,1.636878967
5,1,4,70,70.63687897,0.636878967
5,1,4,71,70.63687897,-0.363121033
5,1,4,72,70.63687897,-1.363121033
5,1,5,85,86.87666321,1.876663208
5,1,5,86,86.87666321,0.876663208
5,1,5,87,86.87666321,-0.123336792
5,1,5,88,86.87666321,-1.123336792
5,2,1,32,33.64266968,1.642669678
5,2,1,33,33.64266968,0.642669678
5,2,1,34,33.64266968,-0.357330322
5,2,1,35,33.64266968,-1.357330322
5,2,2,39,40.51752853,1.517528534
5,2,2,40,40.51752853,0.517528534
5,2,2,41,40.51752853,-0.482471466
5,2,2,42,40.51752853,-1.482471466
5,2,3,62,63.79408264,1.794082642
5,2,3,63,63.79408264,0.794082642
5,2,3,64,63.79408264,-0.205917358
5,2,3,65,63.79408264,-1.205917358
5,2,4,86,87.37076569,1.370765686
5,2,4,87,87.37076569,0.370765686
5,2,4,88,87.37076569,-0.629234314
5,2,4,89,87.37076569,-1.629234314
5,2,5,96,97.34620667,1.346206665
5,2,5,97,97.34620667,0.346206665
5,2,5,98,97.34620667,-0.653793335
5,2,5,99,97.34620667,-1.653793335
5,3,1,84,85.67677307,1.676773071
5,3,1,85,85.67677307,0.676773071
5,3,1,86,85.67677307,-0.323226929
5,3,1,87,85.67677307,-1.323226929
5,3,2,59,60.61724472,1.61724472
5,3,2,60,60.61724472,0.61724472
5,3,2,61,60.61724472,-0.38275528
5,3,2,62,60.61724472,-1.38275528
5,3,3,77,78.74493408,1.744934082
5,3,3,78,78.74493408,0.744934082
5,3,3,79,78.74493408,-0.255065918
5,3,3,80,78.74493408,-1.255065918
5,3,4,82,83.65667725,1.656677246
5,3,4,83,83.65667725,0.656677246
5,3,4,84,83.65667725,-0.343322754
5,3,4,85,83.65667725,-1.343322754
5,3,5,87,88.21443939,1.214439392
5,3,5,88,88.21443939,0.214439392
5,3,5,89,88.21443939,-0.785560608
5,3,5,90,88.21443939,-1.785560608
5,4,1,39,40.71361542,1.713615417
5,4,1,40,40.71361542,0.713615417
5,4,1,41,40.71361542,-0.286384583
5,4,1,42,40.71361542,-1.286384583
5,4,2,49,50.19734192,1.197341919
5,4,2,50,50.19734192,0.197341919
5,4,2,51,50.19734192,-0.802658081
5,4,2,52,50.19734192,-1.802658081
5,4,3,58,59.15550232,1.155502319
5,4,3,59,59.15550232,0.155502319
5,4,3,60,59.15550232,-0.844497681
5,4,3,61,59.15550232,-1.844497681
5,4,4,79,80.72336578,1.723365784
5,4,4,80,80.72336578,0.723365784
5,4,4,81,80.72336578,-0.276634216
5,4,4,82,80.72336578,-1.276634216
5,4,5,87,88.97489166,1.974891663
5,4,5,88,88.97489166,0.974891663
5,4,5,89,88.97489166,-0.025108337
5,4,5,90,88.97489166,-1.025108337
5,5,1,27,28.58309937,1.583099365
5,5,1,28,28.58309937,0.583099365
5,5,1,29,28.58309937,-0.416900635
5,5,1,30,28.58309937,-1.416900635
5,5,2,59,60.62574005,1.625740051
5,5,2,60,60.62574005,0.625740051
5,5,2,61,60.62574005,-0.374259949
5,5,2,62,60.62574005,-1.374259949
5,5,3,74,75.11354065,1.113540649
5,5,3,75,75.11354065,0.113540649
5,5,3,76,75.11354065,-0.886459351
5,5,3,77,75.11354065,-1.886459351
5,5,4,78,79.70075226,1.700752258
5,5,4,79,79.70075226,0.700752258
5,5,4,80,79.70075226,-0.299247742
5,5,4,81,79.70075226,-1.299247742
5,5,5,83,84.6397171,1.639717102
5,5,5,84,84.6397171,0.639717102
5,5,5,85,84.6397171,-0.360282898
5,5,5,86,84.6397171,-1.360282898
